Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
Lomba,44.16
Louredo,43.69
Lufrei,46.13
Mancelos,45.59
Padronelo,49.22
Rebordelo,47.62
Salvador do Monte,48.75
Telões,44.25
Travanca,44.25
"União das freguesias de Aboadela, Sanche e Várzea",46.64
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",45.12
"União das freguesias de Bustelo, Carneiro e Carvalho de Rei",50.92
União das freguesias de Figueiró (Santiago e Santa Cristina),44.43
União das freguesias de Freixo de Cima e de Baixo,44.50
União das freguesias de Olo e Canadelo,50.68
Vila Meã,45.60
"União das freguesias de Vila Garcia, Aboim e Chapa",44.58
Vila Caiz,43.44
Vila Chã do Marão,47.96
Baião,46.40
Frende,49.79
Gestaçô,48.44
Gove,43.76
Grilo,44.79
Loivos do Monte,47.70
Santa Marinha do Zêzere,45.88
União das freguesias de Ancede e Ribadouro,46.58
União das freguesias de Baião (Santa Leocádia) e Mesquinhata,46.88
União das freguesias de Campelo e Ovil,44.70
União das freguesias de Loivos da Ribeira e Tresouras,47.64
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,49.72
União das freguesias de Teixeira e Teixeiró,49.71
Valadares,44.73
Viariz,46.86
Castelo de Paiva,44.97
Fornos,45.87
Real,44.39
Santa Maria de Sardoura,44.86
São Martinho de Sardoura,43.11
"União das freguesias de Raiva, Pedorido e Paraíso",46.64
União das freguesias de Sobrado e Bairros,44.19
Celorico de Basto,46.35
Agilde,43.47
Arnóia,48.36
Basto (São Clemente),45.86
Borba de Montanha,47.90
Codeçoso,54.61
Fervença,46.80
Moreira do Castelo,44.98
Rego,47.77
Ribas,49.15
"União das freguesias de Britelo, Gémeos e Ourilhe",43.98
União das freguesias de Caçarilhe e Infesta,48.47
União das freguesias de Canedo de Basto e Corgo,46.92
União das freguesias de Carvalho e Basto (Santa Tecla),44.04
"União das freguesias de Veade, Gagos e Molares",47.52
Vale de Bouro,45.08
Cinfães,47.17
Cinfães,45.86
Espadanedo,45.41
Ferreiros de Tendais,50.93
Fornelos,47.48
Moimenta,48.27
Nespereira,50.74
Oliveira do Douro,48.79
Santiago de Piães,44.60
São Cristóvão de Nogueira,46.42
Souselo,45.89
Tarouquela,45.99
Tendais,52.99
Travanca,46
"União das freguesias de Alhões, Bustelo, Gralheira e Ramires",51.69
Felgueiras,43.24
Aião,41.69
Airães,44.61
Friande,41.17
Idães,41.57
Jugueiros,43.44
Penacova,43.48
Pinheiro,40.78
Pombeiro de Ribavizela,43.03
Refontoura,43.38
Regilde,44.08
Revinhade,41.46
Sendim,42.77
União das freguesias de Macieira da Lixa e Caramos,43.84
"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",43.27
"União das freguesias de Pedreira, Rande e Sernande",42.69
União das freguesias de Torrados e Sousa,42.74
União das freguesias de Unhão e Lordelo,43.90
União das freguesias de Vila Cova da Lixa e Borba de Godim,43.95
União das freguesias de Vila Fria e Vizela (São Jorge),43.67
União das freguesias de Vila Verde e Santão,46.30
Lousada,41.54
Aveleda,40.17
Caíde de Rei,43.42
Lodares,40.08
Macieira,42.84
Meinedo,44.54
Nevogilde,41.60
Sousela,41.31
Torno,41.71
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),42.81
"União das freguesias de Cristelos, Boim e Ordem",40.74
União das freguesias de Figueiras e Covas,40.76
União das freguesias de Lustosa e Barrosas (Santo Estêvão),39.87
União das freguesias de Nespereira e Casais,41.93
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",41.40
Vilar do Torno e Alentém,43.39
Marco de Canaveses,43.32
"Alpendorada, Várzea e Torrão",41.68
Avessadas e Rosém,43.44
Banho e Carvalhosa,46.62
Bem Viver,42.92
Constance,43.45
Marco,42.09
Paredes de Viadores e Manhuncelos,43.20
Penha Longa e Paços de Gaiolo,44.58
Sande e São Lourenço do Douro,44.64
Santo Isidoro e Livração,48.72
Soalhães,44.26
Sobretâmega,42.72
Tabuado,44.18
"Várzea, Aliviada e Folhada",46.23
Vila Boa de Quires e Maureles,42.71
Vila Boa do Bispo,43.37
Paços de Ferreira,42.06
Carvalhosa,41.67
Eiriz,41.42
Ferreira,41.07
Figueiró,41.98
Frazão Arreigada,43.57
Freamunde,42.87
Meixomil,42
Paços de Ferreira,41.02
Penamaior,42.15
Raimonda,42.94
Sanfins Lamoso Codessos,41.59
Seroa,42.86
Penafiel,42.93
Abragão,42.33
Boelhe,41.84
Bustelo,43.83
Cabeça Santa,42.65
Canelas,44.33
Capela,43.07
Castelões,44.29
Croca,41.79
Duas Igrejas,41.19
Eja,45.44
Fonte Arcada,43.31
Galegos,41.11
Guilhufe e Urrô,43.71
Irivo,43.44
Lagares e Figueira,41.84
Luzim e Vila Cova,42.82
Oldrões,40.64
Paço de Sousa,44
Penafiel,43.69
Perozelo,40.43
Rans,40.07
Recezinhos (São Mamede),43.51
Recezinhos (São Martinho),43.13
Rio de Moinhos,43.75
Rio Mau,45.24
Sebolido,44.02
Termas de São Vicente,42.92
Valpedre,39.64
Resende,47.43
Barrô,54.12
Cárquere,44.78
Paus,51.50
Resende,44.99
São Cipriano,48.61
São João de Fontoura,49.60
São Martinho de Mouros,50.54
União das freguesias de Anreade e São Romão de Aregos,45
União das freguesias de Felgueiras e Feirão,47.84
União das freguesias de Freigil e Miomães,47.18
União das freguesias de Ovadas e Panchorra,51.02
Douro,49.07
Alijó,51.35
Alijó,46.93
Favaios,51.85
Pegarinhos,49.81
Pinhão,47.50
Sanfins do Douro,51.96
Santa Eugénia,57.17
São Mamede de Ribatua,54.58
União das freguesias de Carlão e Amieiro,59.24
União das freguesias de Castedo e Cotas,49.80
União das freguesias de Pópulo e Ribalonga,55.47
"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",47.89
Vila Chã,53.25
Vila Verde,54.70
Vilar de Maçada,54.75
Armamar,50.53
Aldeias,50.68
Armamar,45.57
Cimbres,48.58
Folgosa,53.58
Fontelo,48.96
Queimada,56.36
Queimadela,52.48
Santa Cruz,48.94
São Cosmado,58.50
São Martinho das Chãs,48.31
União das freguesias de Aricera e Goujoim,52.66
União das freguesias de São Romão e Santiago,51.92
União das freguesias de Vila Seca e Santo Adrião,55.80
Vacalar,51.59
Carrazeda de Ansiães,53.05
Carrazeda de Ansiães,46.07
Fonte Longa,56.59
Linhares,58.70
Marzagão,49.29
Parambos,55.21
Pereiros,58.76
Pinhal do Norte,59.93
Pombal,61.90
Seixo de Ansiães,56.09
União das freguesias de Amedo e Zedes,51.29
União das freguesias de Belver e Mogo de Malta,52.07
União das freguesias de Castanheiro do Norte e Ribalonga,55.70
"União das freguesias de Lavandeira, Beira Grande e Selores",59.82
Vilarinho da Castanheira,59.57
Freixo de Espada à Cinta,52.76
Ligares,58.09
Poiares,54.56
União das freguesias de Freixo de Espada à Cinta e Mazouco,50.22
União das freguesias de Lagoaça e Fornos,59.56
Lamego,48.23
Avões,47.95
Britiande,50.74
Cambres,50.98
Ferreirim,50.67
Ferreiros de Avões,47.42
Figueira,53.17
Lalim,50.31
Lamego (Almacave e Sé),45.97
Lazarim,53.87
Penajóia,51.28
Penude,49.30
Samodães,51.17
Sande,46.41
"União das freguesias de Bigorne, Magueija e Pretarouca",53.04
"União das freguesias de Cepões, Meijinhos e Melcões",49.69
União das freguesias de Parada do Bispo e Valdigem,51.35
Várzea de Abrunhais,51.89
Vila Nova de Souto d'El-Rei,52.51
Mesão Frio,49.60
Barqueiros,50.01
Cidadelhe,53.33
Mesão Frio (Santo André),48.18
Oliveira,47.77
Vila Marim,52.02
Moimenta da Beira,48.91
Alvite,51.46
Arcozelos,47.35
Baldos,52.03
Cabaços,53.97
Caria,53.08
Castelo,55.27
Leomil,49.07
Moimenta da Beira,41.62
Passô,52.79
Vila da Rua,54.39
Sarzedo,52.04
Sever,52.69
União das freguesias de Paradinha e Nagosa,53.65
"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz",56.49
União das freguesias de Peva e Segões,56.04
Vilar,51.80
Murça,52.67
Candedo,54.86
Fiolhoso,57.84
Jou,60.59
Murça,47.66
União das freguesias de Carva e Vilares,53.44
União das freguesias de Noura e Palheiros,52.21
Valongo de Milhais,58.99
Penedono,52.03
Beselga,57.90
Castainço,56.54
Penela da Beira,58.43
Póvoa de Penela,47.31
Souto,53.25
União das freguesias de Antas e Ourozinho,56.97
União das freguesias de Penedono e Granja,48.08
Peso da Régua,48.10
Fontelas,49.76
Loureiro,52.66
Sedielos,51.59
União das freguesias de Galafura e Covelinhas,50.65
União das freguesias de Moura Morta e Vinhós,50.81
União das freguesias de Peso da Régua e Godim,46.09
União das freguesias de Poiares e Canelas,52.20
Vilarinho dos Freires,50.09
Sabrosa,50.68
Celeirós,49.79
Covas do Douro,53.36
Gouvinhas,51.43
Paços,48.51
Parada de Pinhão,56.62
Sabrosa,47.85
São Lourenço de Ribapinhão,52.39
Souto Maior,52.41
Torre do Pinhão,52.80
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",52.18
União das freguesias de São Martinho de Antas e Paradela de Guiães,49.66
Vilarinho de São Romão,52.77
Santa Marta de Penaguião,50.87
Alvações do Corgo,51.56
Cumieira,52.27
Fontes,53.02
Medrões,50.45
Sever,53.30
União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane,48.42
União das freguesias de Louredo e Fornelos,54.25
São João da Pesqueira,48.73
Castanheiro do Sul,50.94
Ervedosa do Douro,47.98
Nagozelo do Douro,50.62
Paredes da Beira,50.56
Riodades,54.40
Soutelo do Douro,47.03
União das freguesias de São João da Pesqueira e Várzea de Trevões,44.60
União das freguesias de Trevões e Espinhosa,54.59
União das freguesias de Vilarouco e Pereiros,52.72
Vale de Figueira,53.81
Valongo dos Azeites,47.15
Sernancelhe,51.11
Arnas,54.04
Carregal,57.01
Chosendo,53.78
Cunha,49.98
Faia,50.41
Granjal,51.25
Lamosa,59.47
Quintela,52.56
União das freguesias de Ferreirim e Macieira,52.27
União das freguesias de Fonte Arcada e Escurquela,54.82
União das freguesias de Penso e Freixinho,53.01
União das freguesias de Sernancelhe e Sarzeda,47.39
Vila da Ponte,47.61
Tabuaço,51.08
Adorigo,49.83
Arcos,53.99
Chavães,48.68
Desejosa,53.65
Granja do Tedo,52.10
Longa,55.77
Sendim,56.75
Tabuaço,47.28
União das freguesias de Barcos e Santa Leocádia,52.03
União das freguesias de Paradela e Granjinha,55.56
União das freguesias de Pinheiros e Vale de Figueira,51.02
União das freguesias de Távora e Pereiro,50.20
Valença do Douro,53.01
Tarouca,46.62
Mondim da Beira,49.86
Salzedas,48.61
São João de Tarouca,53.73
União das freguesias de Gouviães e Ucanha,52.54
União das freguesias de Granja Nova e Vila Chã da Beira,51.54
União das freguesias de Tarouca e Dálvares,42.96
Várzea da Serra,61.73
Torre de Moncorvo,54.92
Açoreira,58.26
Cabeça Boa,54.77
Carviçais,61.43
Castedo,53.33
Horta da Vilariça,56.81
Larinho,58.81
Lousa,60.80
Mós,62.26
Torre de Moncorvo,48.96
União das freguesias de Adeganha e Cardanha,58.64
União das freguesias de Felgar e Souto da Velha,54.95
União das freguesias de Felgueiras e Maçores,64.08
União das freguesias de Urros e Peredo dos Castelhanos,62.48
Vila Nova de Foz Côa,52.70
Almendra,55.74
Castelo Melhor,64.06
Cedovim,56.17
Chãs,59.50
Custóias,61.59
Freixo de Numão,55.91
Horta,56.16
Muxagata,56.44
Numão,54.55
Santa Comba,66.09
Sebadelhe,56.76
Seixas,54.59
Touça,53.77
Vila Nova de Foz Côa,48.08
Vila Real,46.20
Abaças,53.33
Andrães,47.60
Arroios,45.39
Campeã,53.44
Folhadela,47.07
Guiães,51.74
Lordelo,45.50
Mateus,43.32
Mondrões,48.69
Parada de Cunhos,44.68
Torgueda,50.35
União das freguesias de Adoufe e Vilarinho de Samardã,46.56
União das freguesias de Borbela e Lamas de Olo,44.91
União das freguesias de Constantim e Vale de Nogueiras,47.41
União das freguesias de Mouçós e Lamares,47.15
União das freguesias de Nogueira e Ermida,55.76
"União das freguesias de Pena, Quintã e Vila Cova",53.87
União das freguesias de São Tomé do Castelo e Justes,52.43
Vila Real,44.13
Vila Marim,47.36
Terras de Trás-os-Montes,51.26
Alfândega da Fé,53.67
Alfândega da Fé,47.07
Cerejais,68.16
Sambade,61.50
"União das freguesias de Agrobom, Saldonha e Vale Pereiro",59.73
"União das freguesias de Eucisia, Gouveia e Valverde",58.57
União das freguesias de Ferradosa e Sendim da Serra,63.33
União das freguesias de Gebelim e Soeima,56.74
União das freguesias de Parada e Sendim da Ribeira,54.37
União das freguesias de Pombal e Vales,56.56
Vilar Chão,58.25
Vilarelhos,54.80
Vilares de Vilariça,58.69
Bragança,47.99
Alfaião,53.37
Babe,61.36
Baçal,54.27
Carragosa,53.09
Castro de Avelãs,49.45
Coelhoso,66.21
Donai,50.45
Espinhosela,59.06
França,63.92
Gimonde,48.99
Gondesende,57.69
Gostei,50.01
Grijó de Parada,59.91
Macedo do Mato,67.99
Mós,54.36
Nogueira,49.31
Outeiro,69.11
Parâmio,55.40
Pinela,61.01
Quintanilha,63.99
Quintela de Lampaças,57.81
Rabal,59.41
Rebordãos,52
Salsas,64.40
Samil,46.07
Santa Comba de Rossas,55.99
São Pedro de Sarracenos,50.56
Sendas,60.41
Serapicos,60.01
Sortes,53.22
União das freguesias de Aveleda e Rio de Onor,66.28
União das freguesias de Castrelos e Carrazedo,61.65
"União das freguesias de Izeda, Calvelhe e Paradinha Nova",56.26
União das freguesias de Parada e Faílde,63.41
União das freguesias de Rebordainhos e Pombares,58.37
União das freguesias de Rio Frio e Milhão,59.80
União das freguesias de São Julião de Palácios e Deilão,63.48
"União das freguesias de Sé, Santa Maria e Meixedo",43.91
Zoio,53.39
Macedo de Cavaleiros,51.84
Amendoeira,50.86
Arcas,57.62
Carrapatas,54.45
Chacim,58.95
Cortiços,59.35
Corujas,57
Ferreira,53.27
Grijó,55.35
Lagoa,60.68
Lamalonga,54.05
Lamas,54.91
Lombo,63.13
Macedo de Cavaleiros,45.47
Morais,53.56
Olmos,55.20
Peredo,53.98
Salselas,62.78
Sezulfe,57.69
Talhas,64.05
União das freguesias de Ala e Vilarinho do Monte,56.95
União das freguesias de Bornes e Burga,57.71
União das freguesias de Castelãos e Vilar do Monte,55.73
"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco",56.27
União das freguesias de Podence e Santa Combinha,58.06
União das freguesias de Talhinhas e Bagueixe,57.11
Vale Benfeito,54.19
Vale da Porca,52.88
Vale de Prados,53.71
Vilarinho de Agrochão,55.69
Vinhas,66.86
Miranda do Douro,53.99
Duas Igrejas,59.23
Genísio,61.37
Malhadas,58.21
Miranda do Douro,47.12
Palaçoulo,52.76
Picote,62.89
Póvoa,58.57
São Martinho de Angueira,68.08
União das freguesias de Constantim e Cicouro,61.07
União das freguesias de Ifanes e Paradela,62.16
União das freguesias de Sendim e Atenor,51.15
União das freguesias de Silva e Águas Vivas,61.69
Vila Chã de Braciosa,59.64
Mirandela,50.30
Abambres,53.46
Abreiro,57.34
Aguieiras,56.34
Alvites,54.11
Bouça,60.37
Cabanelas,52.95
Caravelas,61.72
Carvalhais,49.59
Cedães,55.85
Cobro,56.17
Fradizela,65.27
Frechas,54.70
Lamas de Orelhão,54.58
Mascarenhas,55.53
Mirandela,45.31
Múrias,60.68
Passos,56.20
São Pedro Velho,62.83
São Salvador,52.64
Suçães,59.45
Torre de Dona Chama,57.60
União das freguesias de Avantos e Romeu,62.17
"União das freguesias de Avidagos, Navalho e Pereira",52.16
"União das freguesias de Barcel, Marmelos e Valverde da Gestosa",53.65
União das freguesias de Franco e Vila Boa,56.16
União das freguesias de Freixeda e Vila Verde,57.80
Vale de Asnes,54.05
Vale de Gouvinhas,59.96
Vale de Salgueiro,60.74
Vale de Telhas,56.63
Mogadouro,54.08
Azinhoso,59.83
Bemposta,55.98
Bruçó,63.48
Brunhoso,50.69
Castelo Branco,59.73
Castro Vicente,55.01
Meirinhos,54.91
Paradela,55.03
Penas Roias,59.31
Peredo da Bemposta,59.85
Saldanha,56.74
São Martinho do Peso,63.87
Tó,59.51
Travanca,67.46
"União das freguesias de Brunhozinho, Castanheira e Sanhoane",59.47
"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei",48.94
União das freguesias de Remondes e Soutelo,55.64
União das freguesias de Vilarinho dos Galegos e Ventozelo,57.20
Urrós,61.98
Vale da Madre,51.54
Vila de Ala,58.13
Vila Flor,52.29
Benlhevai,48.59
Freixiel,59.44
Roios,53.64
Samões,47.97
Sampaio,53.67
Santa Comba de Vilariça,52.28
Seixo de Manhoses,54.18
Trindade,61.17
União das freguesias de Assares e Lodões,51.15
União das freguesias de Candoso e Carvalho de Egas,56.49
União das freguesias de Valtorno e Mourão,56.90
União das freguesias de Vila Flor e Nabo,48.73
União das freguesias de Vilas Boas e Vilarinho das Azenhas,56.23
Vale Frechoso,55.77
Vimioso,56.15
Argozelo,52.93
Carção,55.75
Matela,65.14
Pinelo,57.81
Santulhão,64.52
"União das freguesias de Algoso, Campo de Víboras e Uva",63.27
União das freguesias de Caçarelhos e Angueira,59.67
União das freguesias de Vale de Frades e Avelanoso,63.34
Vilar Seco,60.69
Vimioso,47.94
Vinhais,57.43
Agrochão,61.69
Candedo,63.48
Celas,54.83
Edral,62.82
Edrosa,63.56
Ervedosa,62.39
Paçó,55.73
Penhas Juntas,47.29
Rebordelo,59.21
Santalha,61.95
Tuizelo,62.02
União das freguesias de Curopos e Vale de Janeiro,59.02
União das freguesias de Moimenta e Montouto,58.18
União das freguesias de Nunes e Ousilhão,63.17
União das freguesias de Quirás e Pinheiro Novo,68.56
União das freguesias de Sobreiro de Baixo e Alvaredos,57.51
"União das freguesias de Soeira, Fresulfe e Mofreita",61.57
União das freguesias de Travanca e Santa Cruz,56.27
União das freguesias de Vilar de Lomba e São Jomil,56.25
Vale das Fontes,62.06
Vila Boa de Ousilhão,61
Vila Verde,64.25
Vilar de Ossos,54.96
Vilar de Peregrinos,61.04
Vilar Seco de Lomba,63.69
Vinhais,51.03
Centro,47.52
Oeste,45.72
Alcobaça,46.98
Alfeizerão,49.37
Aljubarrota,46.43
Bárrio,49.59
Benedita,44.71
Cela,48.84
Évora de Alcobaça,47.68
Maiorga,48.74
São Martinho do Porto,47.63
Turquel,43.93
União das freguesias de Alcobaça e Vestiaria,46.09
"União das freguesias de Coz, Alpedriz e Montes",49.88
União das freguesias de Pataias e Martingança,47.49
Vimeiro,49.51
Alenquer,43.17
Carnota,48.94
Meca,46.46
Olhalvo,48.61
Ota,44.38
União das freguesias de Abrigada e Cabanas de Torres,47.49
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,48.15
União das freguesias de Alenquer (Santo Estêvão e Triana),41.26
União das freguesias de Carregado e Cadafais,39.20
União das freguesias de Ribafria e Pereiro de Palhacana,46.52
Ventosa,49.21
Vila Verde dos Francos,48.87
Arruda dos Vinhos,42.56
Arranhó,43.74
Arruda dos Vinhos,41.31
Cardosas,47.54
S. Tiago dos Velhos,46.03
Bombarral,47.27
Carvalhal,49.59
Pó,44.39
Roliça,48.72
União das freguesias do Bombarral e Vale Covo,46.32
Cadaval,48.89
Alguber,50.72
Peral,49.47
União das freguesias de Lamas e Cercal,50.44
União das freguesias de Painho e Figueiros,49.25
União das freguesias do Cadaval e Pêro Moniz,45.92
Vermelha,47.73
Vilar,51.76
Caldas da Rainha,46.80
A dos Francos,50.02
Alvorninha,50.09
Carvalhal Benfeito,48.63
Foz do Arelho,50.50
Landal,47.73
Nadadouro,47.65
Salir de Matos,49.13
Santa Catarina,48.42
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",46.14
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,43.99
União das freguesias de Tornada e Salir do Porto,48.45
Vidais,51
Lourinhã,45.97
Moita dos Ferreiros,47.71
Reguengo Grande,48.41
Ribamar,43.23
Santa Bárbara,43.43
União das freguesias de Lourinhã e Atalaia,45.76
União das freguesias de Miragaia e Marteleira,47.09
União das freguesias de São Bartolomeu dos Galegos e Moledo,46.99
Vimeiro,47.08
Nazaré,46.79
Famalicão,47.83
Nazaré,46.30
Valado dos Frades,47.99
Óbidos,47.27
A dos Negros,48.73
Amoreira,50.68
Gaeiras,45.02
Olho Marinho,47.25
"Santa Maria, São Pedro e Sobral da Lagoa",46.66
Usseira,47.28
Vau,49.37
Peniche,46.31
Atouguia da Baleia,46.12
Ferrel,44.83
Peniche,46.69
Serra d'El-Rei,46.87
Sobral de Monte Agraço,43.56
Santo Quintino,44.41
Sapataria,41.34
Sobral de Monte Agraço,44.73
Torres Vedras,44.97
Freiria,45.17
Ponte do Rol,44.72
Ramalhal,45.35
São Pedro da Cadeira,43.42
Silveira,44.17
Turcifal,45.32
União das freguesias de A dos Cunhados e Maceira,44.16
União das freguesias de Campelos e Outeiro da Cabeça,44.36
União das freguesias de Carvoeira e Carmões,49.31
União das freguesias de Dois Portos e Runa,50.06
União das freguesias de Maxial e Monte Redondo,48.49
"Santa Maria, São Pedro e Matacães",44.35
Ventosa,46.41
Região de Aveiro,45.64
Águeda,46.82
Aguada de Cima,45.82
Fermentelos,46.98
Macinhata do Vouga,47.85
União das freguesias de Águeda e Borralha,45.16
União das freguesias de Barrô e Aguada de Baixo,49.63
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",50.93
União das freguesias de Recardães e Espinhel,47.43
União das freguesias de Travassô e Óis da Ribeira,48.54
"União das freguesias de Trofa, Segadães e Lamas do Vouga",45.76
União das freguesias do Préstimo e Macieira de Alcoba,52.22
Valongo do Vouga,47.31
Albergaria-a-Velha,45.30
Albergaria-a-Velha e Valmaior,43.42
Alquerubim,47.15
Angeja,48.67
Branca,45.54
Ribeira de Fráguas,50.11
São João de Loure e Frossos,45.93
Anadia,49.01
Avelãs de Caminho,48.23
Avelãs de Cima,50.90
Moita,50.62
Sangalhos,47.03
São Lourenço do Bairro,49.67
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",50.47
União das freguesias de Arcos e Mogofores,47.17
"União das freguesias de Tamengos, Aguim e Óis do Bairro",48.47
Vila Nova de Monsarros,49.38
Vilarinho do Bairro,52.60
Aveiro,44.41
Aradas,43.68
Cacia,45.16
Eixo e Eirol,44.14
Esgueira,43.56
Oliveirinha,45.64
"Requeixo, Nossa Senhora de Fátima e Nariz",46.17
Santa Joana,45.11
São Bernardo,43.33
São Jacinto,50.40
União das freguesias de Glória e Vera Cruz,44.29
Estarreja,46.10
Avanca,46.76
Pardilhó,44.99
Salreu,48.86
União das freguesias de Beduído e Veiros,44.98
União das freguesias de Canelas e Fermelã,46.80
Ílhavo,44.64
Gafanha da Encarnação,43.86
Gafanha da Nazaré,43.74
Gafanha do Carmo,44.28
Ílhavo (São Salvador),45.75
Murtosa,45.68
Bunheiro,47.15
Monte,44.62
Murtosa,47.68
Torreira,42.59
Oliveira do Bairro,44.95
Oiã,43.52
Oliveira do Bairro,43.83
Palhaça,45.50
"União das freguesias de Bustos, Troviscal e Mamarrosa",47.68
Ovar,45
Cortegaça,45.77
Esmoriz,43.76
Maceda,46.47
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",45.30
Válega,44.71
Sever do Vouga,49.30
Couto de Esteves,56.15
Pessegueiro do Vouga,48.59
Rocas do Vouga,52.81
Sever do Vouga,45.76
Talhadas,48.53
União das freguesias de Cedrim e Paradela,48.42
União das freguesias de Silva Escura e Dornelas,50.69
Vagos,45.48
Calvão,43.96
Gafanha da Boa Hora,42.70
Ouca,49.35
Santo André de Vagos,45.61
Sosa,46.96
União das freguesias de Fonte de Angeão e Covão do Lobo,48.20
União das freguesias de Ponte de Vagos e Santa Catarina,45.09
União das freguesias de Vagos e Santo António,44.80
Região de Coimbra,48.07
Arganil,51.35
Arganil,47.36
Benfeita,55.87
Celavisa,58.45
Folques,57.24
Piódão,55.63
Pomares,55.09
Pombeiro da Beira,55.50
São Martinho da Cortiça,49.63
Sarzedo,49.94
Secarias,50.28
União das freguesias de Cepos e Teixeira,62.94
União das freguesias de Cerdeira e Moura da Serra,59.71
União das freguesias de Côja e Barril de Alva,52.42
União das freguesias de Vila Cova de Alva e Anseriz,52.83
Cantanhede,49
Ançã,47
Cadima,48.47
Cordinhã,49.73
Febres,51.05
Murtede,52.23
Ourentã,50.06
Sanguinheira,48.38
São Caetano,52.03
Tocha,49.45
União das freguesias de Cantanhede e Pocariça,44.84
União das freguesias de Covões e Camarneira,54.47
União das freguesias de Portunhos e Outil,51.06
União das freguesias de Sepins e Bolho,52.39
União das freguesias de Vilamar e Corticeiro de Cima,51.52
Coimbra,46.63
Almalaguês,50.19
Brasfemes,46.05
Ceira,50.51
Cernache,47.78
Santo António dos Olivais,45.84
São João do Campo,48.54
São Silvestre,47.41
Torres do Mondego,51.73
União das freguesias de Antuzede e Vil de Matos,47.78
União das freguesias de Assafarge e Antanhol,46.47
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",46.65
União das freguesias de Eiras e São Paulo de Frades,45.03
União das freguesias de Santa Clara e Castelo Viegas,45.47
União das freguesias de São Martinho de Árvore e Lamarosa,47.77
União das freguesias de São Martinho do Bispo e Ribeira de Frades,47
União das freguesias de Souselas e Botão,48.63
"União das freguesias de Taveiro, Ameal e Arzila",48.34
União das freguesias de Trouxemil e Torre de Vilela,47.97
Condeixa-a-Nova,45.43
Anobra,46.13
Ega,49.59
Furadouro,51.11
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,43.59
União das freguesias de Sebal e Belide,44
União das freguesias de Vila Seca e Bem da Fé,50.96
Zambujal,52.28
Figueira da Foz,48.49
Alhadas,49.42
Alqueidão,53.02
Bom Sucesso,52.16
Buarcos e São Julião,49.27
Ferreira-a-Nova,51.15
Lavos,50.10
Maiorca,50.47
Marinha das Ondas,45.41
Moinhos da Gândara,51.39
Paião,52.01
Quiaios,49.13
São Pedro,47.25
Tavarede,43.27
Vila Verde,49.71
Góis,53.84
Alvares,60.25
Góis,50.51
União das freguesias de Cadafaz e Colmeal,62.31
Vila Nova do Ceira,52.89
Lousã,45.42
Gândaras,48.20
Serpins,47.21
União das freguesias de Foz de Arouce e Casal de Ermio,47.02
União das freguesias de Lousã e Vilarinho,44.79
Mealhada,47.49
Barcouço,48.01
Casal Comba,48.48
Luso,49.65
Pampilhosa,46.48
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",45.99
Vacariça,50.08
Mira,49.11
Carapelhos,48.18
Mira,50.11
Praia de Mira,46.18
Seixo,51.59
Miranda do Corvo,48.33
Lamas,49.69
Miranda do Corvo,47.08
União das freguesias de Semide e Rio Vide,49.90
Vila Nova,51.69
Montemor-o-Velho,47.26
Arazede,49.46
Carapinheira,49.43
Ereira,52.11
Liceia,49.22
Meãs do Campo,46.55
Pereira,41.09
Santo Varão,43.64
Seixo de Gatões,47.55
Tentúgal,48.09
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",54.58
União das freguesias de Montemor-o-Velho e Gatões,46.21
Mortágua,51.63
Cercosa,52.27
Espinho,54.99
Marmeleira,56.81
Pala,52.45
Sobral,51.48
Trezói,57.76
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",49.40
Oliveira do Hospital,48.71
Aldeia das Dez,56.66
Alvoco das Várzeas,60.05
Avô,55.17
Bobadela,47.40
Lagares,47.71
Lourosa,49.60
Meruge,49.78
Nogueira do Cravo,48.33
São Gião,58.12
Seixo da Beira,49.64
Travanca de Lagos,49.66
União das freguesias de Ervedal e Vila Franca da Beira,52.68
