Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
União das freguesias de Campos e Vila Meã,44.04
União das freguesias de Candemil e Gondar,50.19
União das freguesias de Reboreda e Nogueira,45.38
União das freguesias de Vila Nova de Cerveira e Lovelhe,48.51
Cávado,43.57
Amares,44.49
Barreiros,45.58
Bico,38.08
Bouro (Santa Maria),51.73
Bouro (Santa Marta),49.46
Caires,43.60
Carrazedo,44.57
Dornelas,52.29
Fiscal,44.13
Goães,48.38
Lago,43.60
Rendufe,43.25
União das freguesias de Amares e Figueiredo,43.25
"União das freguesias de Caldelas, Sequeiros e Paranhos",51.63
"União das freguesias de Ferreiros, Prozelo e Besteiros",42.03
União das freguesias de Torre e Portela,47.16
"União das freguesias de Vilela, Seramil e Paredes Secas",46.70
Barcelos,43.92
Abade de Neiva,42.77
Aborim,44.72
Adães,44.23
Airó,43.22
Aldreu,45
Alvelos,44.85
Arcozelo,42.34
Areias,44.06
Balugães,45.09
Barcelinhos,43.90
Barqueiros,44.91
Cambeses,44.59
Carapeços,42.55
Carvalhal,48.29
Carvalhas,43.55
Cossourado,45.46
Cristelo,44.34
Fornelos,42.90
Fragoso,43.80
Galegos (Santa Maria),42.65
Galegos (São Martinho),43.59
Gilmonde,44.17
Lama,45.57
Lijó,41.66
Macieira de Rates,42.66
Manhente,43.82
Martim,41.75
Moure,41.56
Oliveira,44.50
Palme,42.28
Panque,44.92
Paradela,43.01
Pereira,43.05
Perelhal,43.19
Pousa,42.26
Remelhe,44.66
Rio Covo (Santa Eugénia),42.86
Roriz,43.80
Silva,47.10
Tamel (São Veríssimo),46
Ucha,42.13
União das freguesias de Alheira e Igreja Nova,46.93
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,43.43
União das freguesias de Areias de Vilar e Encourados,46.05
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",45.15
União das freguesias de Campo e Tamel (São Pedro Fins),44.62
União das freguesias de Carreira e Fonte Coberta,43.60
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",44.45
União das freguesias de Creixomil e Mariz,46.86
União das freguesias de Durrães e Tregosa,46.91
União das freguesias de Gamil e Midões,43.13
"União das freguesias de Milhazes, Vilar de Figos e Faria",44.23
União das freguesias de Negreiros e Chavão,43.70
União das freguesias de Quintiães e Aguiar,44.96
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),43.35
União das freguesias de Silveiros e Rio Covo (Santa Eulália),43.70
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,43.88
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",45.25
União das freguesias de Vila Cova e Feitos,44.23
Várzea,41.31
Vila Seca,46.06
Braga,42.82
Adaúfe,45.69
Braga (São Vicente),42.74
Braga (São Vítor),41.78
Espinho,45.49
Esporões,43.16
Figueiredo,43.87
Gualtar,40.29
Lamas,41.15
Mire de Tibães,45.76
Padim da Graça,44.57
Palmeira,43.53
Pedralva,43.94
Priscos,44.65
Ruilhe,44.01
Sequeira,46.49
Sobreposta,41.80
Tadim,41.40
Tebosa,44.32
União das freguesias de Arentim e Cunha,46.41
"União das freguesias de Braga (Maximinos, Sé e Cividade)",44.11
União das freguesias de Braga (São José de São Lázaro e São João do Souto),46.88
União das freguesias de Cabreiros e Passos (São Julião),46.06
"União das freguesias de Celeirós, Aveleda e Vimieiro",43.40
União das freguesias de Crespos e Pousada,45.74
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),43.87
União das freguesias de Este (São Pedro e São Mamede),42.85
União das freguesias de Ferreiros e Gondizalves,41.01
União das freguesias de Guisande e Oliveira (São Pedro),42.15
União das freguesias de Lomar e Arcos,41.98
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",43.68
União das freguesias de Merelim (São Pedro) e Frossos,42.95
União das freguesias de Morreira e Trandeiras,43.44
"União das freguesias de Nogueira, Fraião e Lamaçães",40.63
União das freguesias de Nogueiró e Tenões,42.07
"União das freguesias de Real, Dume e Semelhe",40.32
União das freguesias de Santa Lucrécia de Algeriz e Navarra,45.09
União das freguesias de Vilaça e Fradelos,44.81
Esposende,43.77
Antas,45.47
Forjães,44.45
Gemeses,44.52
União das freguesias de Apúlia e Fão,43.91
União das freguesias de Belinho e Mar,44.72
"União das freguesias de Esposende, Marinhas e Gandra",42.81
União das freguesias de Fonte Boa e Rio Tinto,45.24
União das freguesias de Palmeira de Faro e Curvos,43.07
Vila Chã,44.74
Terras de Bouro,49.37
Balança,50.28
Campo do Gerês,48.63
Carvalheira,54.75
Covide,56.61
Gondoriz,48.82
Moimenta,46.73
Ribeira,48.01
Rio Caldo,48.29
Souto,47.19
União das freguesias de Chamoim e Vilar,51.50
União das freguesias de Chorense e Monte,47.82
União das freguesias de Cibões e Brufe,53.43
Valdosende,50.01
Vilar da Veiga,48.60
Vila Verde,44.53
Aboim da Nóbrega e Gondomar,51.49
Atiães,48.28
Cabanelas,42.38
Cervães,45.65
Coucieiro,46.64
Dossãos,46.41
Freiriz,45.70
Gême,44.54
Lage,40.41
Lanhas,47.41
Loureira,43.91
Moure,43.49
Oleiros,43.25
Parada de Gatim,43.73
Pico,47.41
Ponte,45.59
Prado (São Miguel),46.23
Sabariz,42.85
Soutelo,42.74
Turiz,40.81
União das freguesias da Ribeira do Neiva,47.51
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),45.05
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),50.41
"União das freguesias de Esqueiros, Nevogilde e Travassós",45.86
União das freguesias de Marrancos e Arcozelo,46.86
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),48.15
"União das freguesias de Pico de Regalados, Gondiães e Mós",45.28
"União das freguesias de Sande, Vilarinho, Barros e Gomide",45.33
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",51.24
União das freguesias do Vade,47.85
Valdreu,56.43
Vila de Prado,43.87
Vila Verde e Barbudo,41.95
Ave,44.55
Cabeceiras de Basto,45.48
Abadim,47.83
Basto,39.83
Bucos,50.57
Cabeceiras de Basto,48.29
Cavez,51.98
Faia,46.65
Pedraça,46.80
Rio Douro,51.11
União das freguesias de Alvite e Passos,44
União das freguesias de Arco de Baúlhe e Vila Nune,45.57
União das freguesias de Gondiães e Vilar de Cunhas,55.04
"União das freguesias de Refojos de Basto, Outeiro e Painzela",43.09
Fafe,45.71
Armil,45.33
Arões (Santa Cristina),42.05
Arões (São Romão),42.50
Estorãos,46.59
Fafe,44.95
Fornelos,45.82
Golães,44.41
Medelo,46.87
Paços,45.15
Quinchães,45.66
Regadas,47.25
Revelhe,44.33
Ribeiros,45.74
São Gens,46.64
Silvares (São Martinho),47.11
Travassós,47.17
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",50.96
União de freguesias de Agrela e Serafão,46.61
União de freguesias de Antime e Silvares (São Clemente),46.81
"União de freguesias de Ardegão, Arnozela e Seidões",48.14
União de freguesias de Cepães e Fareja,43.76
União de freguesias de Freitas e Vila Cova,49.16
União de freguesias de Monte e Queimadela,53.11
União de freguesias de Moreira do Rei e Várzea Cova,50.29
Vinhós,48.05
Guimarães,44.22
Aldão,40.03
Azurém,44.43
Barco,42.32
Brito,43.08
Caldelas,42.49
Candoso (São Martinho),47.77
Costa,40.65
Creixomil,45.57
Fermentões,41.64
Gonça,43.98
Gondar,44.97
Guardizela,46.77
Infantas,42.61
Longos,42.91
Lordelo,47.29
Mesão Frio,43.60
Moreira de Cónegos,46.82
Nespereira,44.93
Pencelo,45.61
Pinheiro,44.68
Polvoreira,46.36
Ponte,41.49
Prazins (Santa Eufémia),41.26
Ronfe,44.14
Sande (São Martinho),45.59
São Torcato,45.65
Selho (São Cristóvão),45.60
Selho (São Jorge),44.14
Serzedelo,46.20
Silvares,44.40
União das freguesias de Abação e Gémeos,41.29
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",46.69
União das freguesias de Arosa e Castelões,49.04
União das freguesias de Atães e Rendufe,41.70
União das freguesias de Briteiros Santo Estêvão e Donim,43.75
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,43.82
União das freguesias de Candoso São Tiago e Mascotelos,42
União das freguesias de Conde e Gandarela,43.53
"União das freguesias de Leitões, Oleiros e Figueiredo",43.36
"União das freguesias de Oliveira, São Paio e São Sebastião",49.32
União das freguesias de Prazins Santo Tirso e Corvite,39.78
União das freguesias de Sande São Lourenço e Balazar,42.65
União das freguesias de Sande Vila Nova e Sande São Clemente,45.49
União das freguesias de Selho São Lourenço e Gominhães,42.66
União das freguesias de Serzedo e Calvos,41.68
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",43.58
União das freguesias de Tabuadelo e São Faustino,43.52
Urgezes,44.78
Mondim de Basto,48.68
Atei,46.08
Bilhó,52.82
São Cristóvão de Mondim de Basto,47.51
União das freguesias de Campanhó e Paradança,49.64
União das freguesias de Ermelo e Pardelhas,59.02
Vilar de Ferreiros,48.91
Póvoa de Lanhoso,45.45
Covelas,46.81
Ferreiros,44.54
Galegos,47.31
Garfe,45.34
Geraz do Minho,44.88
Lanhoso,44.06
Monsul,47.51
Póvoa de Lanhoso (Nossa Senhora do Amparo),42.70
Rendufinho,44.20
Santo Emilião,45.89
São João de Rei,45.34
Serzedelo,49.99
Sobradelo da Goma,53.43
Taíde,44.65
Travassos,49.82
União das freguesias de Águas Santas e Moure,45.84
União das freguesias de Calvos e Frades,46.82
União das freguesias de Campos e Louredo,44.17
União das freguesias de Esperança e Brunhais,54.03
União das freguesias de Fonte Arcada e Oliveira,45.18
"União das freguesias de Verim, Friande e Ajude",47.27
Vilela,44.17
Vieira do Minho,49.67
Cantelães,51.21
Eira Vedra,49.28
Guilhofrei,49.88
Louredo,52.11
Mosteiro,48.53
Parada de Bouro,53.10
Pinheiro,50.79
Rossas,50.92
Salamonde,55.88
Tabuaças,45.90
