Local de residência (à data dos Censos 2021),Proporção da população residente com ensino superior completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
Vila Pouca de Aguiar,18.75
Vreia de Bornes,4.82
Vreia de Jales,5.66
Tâmega e Sousa,11.18
Amarante,14.09
Ansiães,5.69
Candemil,6.43
Fregim,14.49
Fridão,6.98
Gondar,13.43
Gouveia (São Simão),7.88
Jazente,10.91
Lomba,19.17
Louredo,15.15
Lufrei,15.68
Mancelos,10.23
Padronelo,10.12
Rebordelo,6.42
Salvador do Monte,11.85
Telões,11.19
Travanca,8.36
"União das freguesias de Aboadela, Sanche e Várzea",8.09
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",23.28
"União das freguesias de Bustelo, Carneiro e Carvalho de Rei",4.88
União das freguesias de Figueiró (Santiago e Santa Cristina),10.50
União das freguesias de Freixo de Cima e de Baixo,13.22
União das freguesias de Olo e Canadelo,7.80
Vila Meã,12.89
"União das freguesias de Vila Garcia, Aboim e Chapa",15.19
Vila Caiz,10.96
Vila Chã do Marão,10.20
Baião,8
Frende,7.24
Gestaçô,6.50
Gove,7.19
Grilo,4.95
Loivos do Monte,5.76
Santa Marinha do Zêzere,7.19
União das freguesias de Ancede e Ribadouro,8.04
União das freguesias de Baião (Santa Leocádia) e Mesquinhata,5.71
União das freguesias de Campelo e Ovil,13.22
União das freguesias de Loivos da Ribeira e Tresouras,7.81
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,5.94
União das freguesias de Teixeira e Teixeiró,4.62
Valadares,4.07
Viariz,6.19
Castelo de Paiva,9.25
Fornos,8.47
Real,6.40
Santa Maria de Sardoura,7.47
São Martinho de Sardoura,8.29
"União das freguesias de Raiva, Pedorido e Paraíso",7.89
União das freguesias de Sobrado e Bairros,12.62
Celorico de Basto,10.22
Agilde,9.54
Arnóia,12.48
Basto (São Clemente),7.57
Borba de Montanha,6.95
Codeçoso,8.99
Fervença,9.50
Moreira do Castelo,7.56
Rego,9.34
Ribas,5.23
"União das freguesias de Britelo, Gémeos e Ourilhe",14.43
União das freguesias de Caçarilhe e Infesta,5.84
União das freguesias de Canedo de Basto e Corgo,12.86
União das freguesias de Carvalho e Basto (Santa Tecla),7.92
"União das freguesias de Veade, Gagos e Molares",12.47
Vale de Bouro,5.56
Cinfães,7.11
Cinfães,11.57
Espadanedo,7.13
Ferreiros de Tendais,5.17
Fornelos,5.18
Moimenta,7.53
Nespereira,4.87
Oliveira do Douro,5.31
Santiago de Piães,4.29
São Cristóvão de Nogueira,5.93
Souselo,8.22
Tarouquela,7.15
Tendais,6.90
Travanca,6.68
"União das freguesias de Alhões, Bustelo, Gralheira e Ramires",4.09
Felgueiras,10.73
Aião,6.75
Airães,8.91
Friande,9.31
Idães,8.22
Jugueiros,6.58
Penacova,5.90
Pinheiro,8.79
Pombeiro de Ribavizela,7.85
Refontoura,8.45
Regilde,6.05
Revinhade,10.99
Sendim,7.07
União das freguesias de Macieira da Lixa e Caramos,10.81
"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",13.20
"União das freguesias de Pedreira, Rande e Sernande",7.64
União das freguesias de Torrados e Sousa,6.10
União das freguesias de Unhão e Lordelo,8.11
União das freguesias de Vila Cova da Lixa e Borba de Godim,16.78
União das freguesias de Vila Fria e Vizela (São Jorge),5.72
União das freguesias de Vila Verde e Santão,12.27
Lousada,10.85
Aveleda,7.86
Caíde de Rei,9.99
Lodares,11.98
Macieira,6.80
Meinedo,10.42
Nevogilde,6.73
Sousela,7.29
Torno,11.50
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),8.11
"União das freguesias de Cristelos, Boim e Ordem",13.89
União das freguesias de Figueiras e Covas,8.23
União das freguesias de Lustosa e Barrosas (Santo Estêvão),7.42
União das freguesias de Nespereira e Casais,9.90
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",17
Vilar do Torno e Alentém,10.29
Marco de Canaveses,10.85
"Alpendorada, Várzea e Torrão",10.81
Avessadas e Rosém,9.22
Banho e Carvalhosa,7.63
Bem Viver,9.30
Constance,10.84
Marco,16.48
Paredes de Viadores e Manhuncelos,6.52
Penha Longa e Paços de Gaiolo,6.68
Sande e São Lourenço do Douro,7.32
Santo Isidoro e Livração,13.70
Soalhães,7.88
Sobretâmega,10.10
Tabuado,12.16
"Várzea, Aliviada e Folhada",8.45
Vila Boa de Quires e Maureles,6.99
Vila Boa do Bispo,10.35
Paços de Ferreira,11.34
Carvalhosa,10.67
Eiriz,8.16
Ferreira,9.34
Figueiró,10.83
Frazão Arreigada,9.76
Freamunde,10.51
Meixomil,13.75
Paços de Ferreira,17.96
Penamaior,10.76
Raimonda,10.59
Sanfins Lamoso Codessos,7.79
Seroa,8.01
Penafiel,12.57
Abragão,6.15
Boelhe,5.80
Bustelo,14.89
Cabeça Santa,6.95
Canelas,8.13
Capela,7.99
Castelões,11.13
Croca,10.25
Duas Igrejas,9.15
Eja,8.02
Fonte Arcada,10.75
Galegos,11.98
Guilhufe e Urrô,13.07
Irivo,12.83
Lagares e Figueira,8.88
Luzim e Vila Cova,5.65
Oldrões,9.10
Paço de Sousa,12.66
Penafiel,22.04
Perozelo,10.87
Rans,9.04
Recezinhos (São Mamede),9.05
Recezinhos (São Martinho),11.03
Rio de Moinhos,8.53
Rio Mau,10.48
Sebolido,8.79
Termas de São Vicente,8.40
Valpedre,7.77
Resende,8.86
Barrô,6.45
Cárquere,7.90
Paus,5.75
Resende,13.89
São Cipriano,6.27
São João de Fontoura,3.69
São Martinho de Mouros,5.74
União das freguesias de Anreade e São Romão de Aregos,11.30
União das freguesias de Felgueiras e Feirão,7.97
União das freguesias de Freigil e Miomães,3.74
União das freguesias de Ovadas e Panchorra,2.51
Douro,15.73
Alijó,9.63
Alijó,15.24
Favaios,10.39
Pegarinhos,5.90
Pinhão,11.28
Sanfins do Douro,7.53
Santa Eugénia,4
São Mamede de Ribatua,9.28
União das freguesias de Carlão e Amieiro,6.28
União das freguesias de Castedo e Cotas,6.65
União das freguesias de Pópulo e Ribalonga,8.15
"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",7.65
Vila Chã,6.33
Vila Verde,7.99
Vilar de Maçada,7.24
Armamar,10.05
Aldeias,17.05
Armamar,13.26
Cimbres,5.80
Folgosa,10.58
Fontelo,9.40
Queimada,7.51
Queimadela,12.90
Santa Cruz,2.84
São Cosmado,7.23
São Martinho das Chãs,11.19
União das freguesias de Aricera e Goujoim,9.88
União das freguesias de São Romão e Santiago,6.15
União das freguesias de Vila Seca e Santo Adrião,6.30
Vacalar,6.94
Carrazeda de Ansiães,10.52
Carrazeda de Ansiães,18.02
Fonte Longa,7.36
Linhares,7.99
Marzagão,8.23
Parambos,11.04
Pereiros,6.29
Pinhal do Norte,6.70
Pombal,10.19
Seixo de Ansiães,8.76
União das freguesias de Amedo e Zedes,3.59
União das freguesias de Belver e Mogo de Malta,13.42
União das freguesias de Castanheiro do Norte e Ribalonga,7.78
"União das freguesias de Lavandeira, Beira Grande e Selores",5.56
Vilarinho da Castanheira,2.94
Freixo de Espada à Cinta,7.94
Ligares,4.71
Poiares,6.62
União das freguesias de Freixo de Espada à Cinta e Mazouco,9.22
União das freguesias de Lagoaça e Fornos,5.69
Lamego,17.28
Avões,8.60
Britiande,12.94
Cambres,8.51
Ferreirim,8.49
Ferreiros de Avões,10.72
Figueira,7.47
Lalim,7.89
Lamego (Almacave e Sé),25.70
Lazarim,7.44
Penajóia,7.91
Penude,8.65
Samodães,7.04
Sande,9.39
"União das freguesias de Bigorne, Magueija e Pretarouca",13.72
"União das freguesias de Cepões, Meijinhos e Melcões",9.66
União das freguesias de Parada do Bispo e Valdigem,7.45
Várzea de Abrunhais,6.94
Vila Nova de Souto d'El-Rei,15.20
Mesão Frio,9.13
Barqueiros,4.87
Cidadelhe,5.98
Mesão Frio (Santo André),11.66
Oliveira,7.56
Vila Marim,8.31
Moimenta da Beira,12.87
Alvite,9.62
Arcozelos,15.56
Baldos,9.70
Cabaços,6.22
Caria,7.54
Castelo,6.90
Leomil,12.39
Moimenta da Beira,21.19
Passô,9.34
Vila da Rua,13.17
Sarzedo,2.26
Sever,5.52
União das freguesias de Paradinha e Nagosa,9.18
"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz",8.45
União das freguesias de Peva e Segões,8.68
Vilar,4.81
Murça,10.53
Candedo,6.43
Fiolhoso,4.08
Jou,6.61
Murça,17.14
União das freguesias de Carva e Vilares,3.75
União das freguesias de Noura e Palheiros,11.85
Valongo de Milhais,3.24
Penedono,9.57
Beselga,11.16
Castainço,5.26
Penela da Beira,6.60
Póvoa de Penela,6.96
Souto,10.08
União das freguesias de Antas e Ourozinho,6.98
União das freguesias de Penedono e Granja,11.98
Peso da Régua,14.19
Fontelas,9.54
Loureiro,8.66
Sedielos,6.18
União das freguesias de Galafura e Covelinhas,5.73
União das freguesias de Moura Morta e Vinhós,6.81
União das freguesias de Peso da Régua e Godim,18.83
União das freguesias de Poiares e Canelas,6.83
Vilarinho dos Freires,7.44
Sabrosa,9.70
Celeirós,6.59
Covas do Douro,8.44
Gouvinhas,2.09
Paços,10.75
Parada de Pinhão,5.65
Sabrosa,13.72
São Lourenço de Ribapinhão,4.35
Souto Maior,5.36
Torre do Pinhão,8.98
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",8.27
União das freguesias de São Martinho de Antas e Paradela de Guiães,14.30
Vilarinho de São Romão,5.83
Santa Marta de Penaguião,10.06
Alvações do Corgo,7.49
Cumieira,12.03
Fontes,7.23
Medrões,7.46
Sever,6.29
União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane,12.31
União das freguesias de Louredo e Fornelos,7.73
São João da Pesqueira,8.83
Castanheiro do Sul,3.14
Ervedosa do Douro,8.73
Nagozelo do Douro,4.04
Paredes da Beira,6.57
Riodades,4.47
Soutelo do Douro,10.03
União das freguesias de São João da Pesqueira e Várzea de Trevões,14.42
União das freguesias de Trevões e Espinhosa,5.41
União das freguesias de Vilarouco e Pereiros,4.47
Vale de Figueira,5.36
Valongo dos Azeites,5.11
Sernancelhe,8.80
Arnas,3.64
Carregal,6.67
Chosendo,4.35
Cunha,7.27
Faia,13.43
Granjal,3.94
Lamosa,8.02
Quintela,6.98
União das freguesias de Ferreirim e Macieira,8.44
União das freguesias de Fonte Arcada e Escurquela,6.93
União das freguesias de Penso e Freixinho,8.89
União das freguesias de Sernancelhe e Sarzeda,12.04
Vila da Ponte,9.95
Tabuaço,9.02
Adorigo,6.85
Arcos,4.05
Chavães,2.89
Desejosa,5.45
Granja do Tedo,7.30
Longa,7.37
Sendim,6.78
Tabuaço,14.44
União das freguesias de Barcos e Santa Leocádia,9.33
União das freguesias de Paradela e Granjinha,7.06
União das freguesias de Pinheiros e Vale de Figueira,7.84
União das freguesias de Távora e Pereiro,4.87
Valença do Douro,7.83
Tarouca,11.12
Mondim da Beira,10.10
Salzedas,4.89
São João de Tarouca,3.28
União das freguesias de Gouviães e Ucanha,7.12
União das freguesias de Granja Nova e Vila Chã da Beira,4.96
União das freguesias de Tarouca e Dálvares,14.95
Várzea da Serra,4.15
Torre de Moncorvo,11.41
Açoreira,7.23
Cabeça Boa,5.58
Carviçais,9.53
Castedo,5.81
Horta da Vilariça,8.47
Larinho,5.72
Lousa,5.26
Mós,10.29
Torre de Moncorvo,18.54
União das freguesias de Adeganha e Cardanha,5.01
União das freguesias de Felgar e Souto da Velha,8.22
União das freguesias de Felgueiras e Maçores,10.25
União das freguesias de Urros e Peredo dos Castelhanos,5.02
Vila Nova de Foz Côa,11.34
Almendra,2.95
Castelo Melhor,2.48
Cedovim,7.54
Chãs,8.70
Custóias,7.65
Freixo de Numão,8.61
Horta,4.73
Muxagata,3.80
Numão,8.06
Santa Comba,2.17
Sebadelhe,2.09
Seixas,10
Touça,9.64
Vila Nova de Foz Côa,16.81
Vila Real,26.40
Abaças,8.79
Andrães,15.10
Arroios,32.95
Campeã,11.41
Folhadela,23.47
Guiães,7.67
Lordelo,26.64
Mateus,38.52
Mondrões,11.88
Parada de Cunhos,19.70
Torgueda,11.50
União das freguesias de Adoufe e Vilarinho de Samardã,19.22
União das freguesias de Borbela e Lamas de Olo,25.65
União das freguesias de Constantim e Vale de Nogueiras,17.72
União das freguesias de Mouçós e Lamares,17.92
União das freguesias de Nogueira e Ermida,6.73
"União das freguesias de Pena, Quintã e Vila Cova",11.55
União das freguesias de São Tomé do Castelo e Justes,10.49
Vila Real,37.55
Vila Marim,13.61
Terras de Trás-os-Montes,17.42
Alfândega da Fé,11.85
Alfândega da Fé,19.04
Cerejais,6.37
Sambade,8.33
"União das freguesias de Agrobom, Saldonha e Vale Pereiro",3.05
"União das freguesias de Eucisia, Gouveia e Valverde",2.49
União das freguesias de Ferradosa e Sendim da Serra,6.83
União das freguesias de Gebelim e Soeima,6.32
União das freguesias de Parada e Sendim da Ribeira,10.23
União das freguesias de Pombal e Vales,7.69
Vilar Chão,8.99
Vilarelhos,8.47
Vilares de Vilariça,2.44
Bragança,25.51
Alfaião,16.20
Babe,9.42
Baçal,15.67
Carragosa,9.22
Castro de Avelãs,25.21
Coelhoso,2.66
Donai,24.23
Espinhosela,4.31
França,7.61
Gimonde,17.99
Gondesende,5.74
Gostei,22.29
Grijó de Parada,5.44
Macedo do Mato,2.31
Mós,13.07
Nogueira,20.05
Outeiro,7.08
Parâmio,5.75
Pinela,5.69
Quintanilha,15.53
Quintela de Lampaças,4.27
Rabal,12.77
Rebordãos,12.39
Salsas,3.98
Samil,26.34
Santa Comba de Rossas,10.57
São Pedro de Sarracenos,20.63
Sendas,7.41
Serapicos,8.09
Sortes,8.52
União das freguesias de Aveleda e Rio de Onor,5
União das freguesias de Castrelos e Carrazedo,4.39
"União das freguesias de Izeda, Calvelhe e Paradinha Nova",6.11
União das freguesias de Parada e Faílde,4.74
União das freguesias de Rebordainhos e Pombares,2.94
União das freguesias de Rio Frio e Milhão,9.30
União das freguesias de São Julião de Palácios e Deilão,3.68
"União das freguesias de Sé, Santa Maria e Meixedo",33.03
Zoio,3.45
Macedo de Cavaleiros,14.76
Amendoeira,16
Arcas,8.16
Carrapatas,11.19
Chacim,7.51
Cortiços,2.76
Corujas,8.46
Ferreira,4.35
Grijó,10.19
Lagoa,5.62
Lamalonga,6.42
Lamas,8.64
Lombo,10.14
Macedo de Cavaleiros,24.42
Morais,5.21
Olmos,8.09
Peredo,5.99
Salselas,3.79
Sezulfe,12.70
Talhas,4.84
União das freguesias de Ala e Vilarinho do Monte,6.70
União das freguesias de Bornes e Burga,9.32
União das freguesias de Castelãos e Vilar do Monte,10.74
"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco",6.96
União das freguesias de Podence e Santa Combinha,8.30
União das freguesias de Talhinhas e Bagueixe,6.87
Vale Benfeito,9.35
Vale da Porca,7.35
Vale de Prados,14.43
Vilarinho de Agrochão,2.67
Vinhas,3.82
Miranda do Douro,12.98
Duas Igrejas,10.18
Genísio,5.84
Malhadas,8.50
Miranda do Douro,20.84
Palaçoulo,10.26
Picote,8.88
Póvoa,8.44
São Martinho de Angueira,5.68
União das freguesias de Constantim e Cicouro,4.96
União das freguesias de Ifanes e Paradela,4.59
União das freguesias de Sendim e Atenor,14.22
União das freguesias de Silva e Águas Vivas,5.13
Vila Chã de Braciosa,8.44
Mirandela,17.26
Abambres,10.73
Abreiro,3.33
Aguieiras,8.02
Alvites,8.72
Bouça,7.74
Cabanelas,11.67
Caravelas,2.13
Carvalhais,16.05
Cedães,8.23
Cobro,6.38
Fradizela,3.98
Frechas,5.76
Lamas de Orelhão,8.45
Mascarenhas,9.79
Mirandela,26.02
Múrias,3.96
Passos,7.59
São Pedro Velho,6.06
São Salvador,8.62
Suçães,6.68
Torre de Dona Chama,8.96
União das freguesias de Avantos e Romeu,5.16
"União das freguesias de Avidagos, Navalho e Pereira",6.88
"União das freguesias de Barcel, Marmelos e Valverde da Gestosa",5.32
União das freguesias de Franco e Vila Boa,5.56
União das freguesias de Freixeda e Vila Verde,7.44
Vale de Asnes,3.21
Vale de Gouvinhas,8.26
Vale de Salgueiro,5.05
Vale de Telhas,8.79
Mogadouro,13.68
Azinhoso,8.93
Bemposta,9.07
Bruçó,10.39
Brunhoso,11.96
Castelo Branco,6.89
Castro Vicente,9.70
Meirinhos,9.46
Paradela,21.82
Penas Roias,8.14
Peredo da Bemposta,11.45
Saldanha,10
São Martinho do Peso,7.29
Tó,16.28
Travanca,2.56
"União das freguesias de Brunhozinho, Castanheira e Sanhoane",10.45
"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei",19.87
União das freguesias de Remondes e Soutelo,9.20
União das freguesias de Vilarinho dos Galegos e Ventozelo,8.07
Urrós,7.79
Vale da Madre,11.11
Vila de Ala,6.57
Vila Flor,11.10
Benlhevai,12.20
Freixiel,7.23
Roios,7.87
Samões,10.51
Sampaio,6.90
Santa Comba de Vilariça,7.94
Seixo de Manhoses,9.12
Trindade,9.09
União das freguesias de Assares e Lodões,10.67
União das freguesias de Candoso e Carvalho de Egas,7.35
União das freguesias de Valtorno e Mourão,6.50
União das freguesias de Vila Flor e Nabo,15.24
União das freguesias de Vilas Boas e Vilarinho das Azenhas,9.15
Vale Frechoso,7.91
Vimioso,9.86
Argozelo,8.35
Carção,7.71
Matela,3.48
Pinelo,9.14
Santulhão,5.71
"União das freguesias de Algoso, Campo de Víboras e Uva",6.32
União das freguesias de Caçarelhos e Angueira,8.86
União das freguesias de Vale de Frades e Avelanoso,12.32
Vilar Seco,9.26
Vimioso,15.12
Vinhais,8.31
Agrochão,6
Candedo,7.38
Celas,3.49
Edral,1.88
Edrosa,7.63
Ervedosa,6.27
Paçó,6.47
Penhas Juntas,6.70
Rebordelo,6.85
Santalha,4.57
Tuizelo,6.07
União das freguesias de Curopos e Vale de Janeiro,7.56
União das freguesias de Moimenta e Montouto,3.96
União das freguesias de Nunes e Ousilhão,4.35
União das freguesias de Quirás e Pinheiro Novo,4.02
União das freguesias de Sobreiro de Baixo e Alvaredos,7.20
"União das freguesias de Soeira, Fresulfe e Mofreita",2.68
União das freguesias de Travanca e Santa Cruz,9.16
União das freguesias de Vilar de Lomba e São Jomil,3.85
Vale das Fontes,5.65
Vila Boa de Ousilhão,4.72
Vila Verde,6.12
Vilar de Ossos,6.47
Vilar de Peregrinos,7.14
Vilar Seco de Lomba,4.52
Vinhais,15.30
Centro,18.59
Oeste,16.65
Alcobaça,15.29
Alfeizerão,10.95
Aljubarrota,13.22
Bárrio,13.08
Benedita,18.96
Cela,10.15
Évora de Alcobaça,12.27
Maiorga,15.06
São Martinho do Porto,19.28
Turquel,12.32
União das freguesias de Alcobaça e Vestiaria,23.52
"União das freguesias de Coz, Alpedriz e Montes",10.61
União das freguesias de Pataias e Martingança,14.86
Vimeiro,9.14
Alenquer,15.34
Carnota,13.24
Meca,10.12
Olhalvo,10.27
Ota,13.24
União das freguesias de Abrigada e Cabanas de Torres,10.48
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,12.61
União das freguesias de Alenquer (Santo Estêvão e Triana),22.35
União das freguesias de Carregado e Cadafais,15.50
União das freguesias de Ribafria e Pereiro de Palhacana,10.34
Ventosa,9.22
Vila Verde dos Francos,6.21
Arruda dos Vinhos,23.37
Arranhó,15.20
Arruda dos Vinhos,27.12
Cardosas,18.99
S. Tiago dos Velhos,16.72
Bombarral,14.07
Carvalhal,12.03
Pó,12.83
Roliça,9.27
União das freguesias do Bombarral e Vale Covo,16.79
Cadaval,11.70
Alguber,6.21
Peral,11.30
União das freguesias de Lamas e Cercal,10.69
União das freguesias de Painho e Figueiros,11.52
União das freguesias do Cadaval e Pêro Moniz,15.16
Vermelha,8.16
Vilar,12.19
Caldas da Rainha,19.81
A dos Francos,9.53
Alvorninha,9.43
Carvalhal Benfeito,9.85
Foz do Arelho,21.57
Landal,10.37
Nadadouro,23.38
Salir de Matos,13.29
Santa Catarina,10.54
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",27.50
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,18.53
União das freguesias de Tornada e Salir do Porto,16.11
Vidais,9.51
Lourinhã,14.82
Moita dos Ferreiros,10.99
Reguengo Grande,9.51
Ribamar,12.11
Santa Bárbara,15.66
União das freguesias de Lourinhã e Atalaia,18.46
União das freguesias de Miragaia e Marteleira,10.52
União das freguesias de São Bartolomeu dos Galegos e Moledo,10.60
Vimeiro,11.90
Nazaré,15.46
Famalicão,14.96
Nazaré,17
Valado dos Frades,10.09
Óbidos,16.29
A dos Negros,12.21
Amoreira,18.29
Gaeiras,20.89
Olho Marinho,11.78
"Santa Maria, São Pedro e Sobral da Lagoa",17.68
Usseira,11.25
Vau,15.31
Peniche,15.20
Atouguia da Baleia,15.79
Ferrel,20.64
Peniche,14.01
Serra d'El-Rei,11.83
Sobral de Monte Agraço,15.93
Santo Quintino,13.67
Sapataria,16.83
Sobral de Monte Agraço,17.56
Torres Vedras,17.84
Freiria,10.13
Ponte do Rol,16.03
Ramalhal,13.03
São Pedro da Cadeira,12.03
Silveira,19.46
Turcifal,21.45
União das freguesias de A dos Cunhados e Maceira,15.85
União das freguesias de Campelos e Outeiro da Cabeça,9.67
União das freguesias de Carvoeira e Carmões,13.47
União das freguesias de Dois Portos e Runa,13
União das freguesias de Maxial e Monte Redondo,8.49
"Santa Maria, São Pedro e Matacães",24.52
Ventosa,11.37
Região de Aveiro,19.88
Águeda,15.42
Aguada de Cima,13.43
Fermentelos,15.94
Macinhata do Vouga,10.86
União das freguesias de Águeda e Borralha,19.70
União das freguesias de Barrô e Aguada de Baixo,12.76
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",9.87
União das freguesias de Recardães e Espinhel,16.32
União das freguesias de Travassô e Óis da Ribeira,13.88
"União das freguesias de Trofa, Segadães e Lamas do Vouga",13.45
União das freguesias do Préstimo e Macieira de Alcoba,10.56
Valongo do Vouga,13.23
Albergaria-a-Velha,14.76
Albergaria-a-Velha e Valmaior,19.34
Alquerubim,8.23
Angeja,11.58
Branca,13.48
Ribeira de Fráguas,9.96
São João de Loure e Frossos,9.66
Anadia,16.65
Avelãs de Caminho,16.53
Avelãs de Cima,13.89
Moita,15.35
Sangalhos,16.92
São Lourenço do Bairro,15.32
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",11.45
União das freguesias de Arcos e Mogofores,22.02
"União das freguesias de Tamengos, Aguim e Óis do Bairro",21.19
Vila Nova de Monsarros,8.50
Vilarinho do Bairro,12.15
Aveiro,30.18
Aradas,32.96
Cacia,15.40
Eixo e Eirol,16.82
Esgueira,27.17
Oliveirinha,16.87
"Requeixo, Nossa Senhora de Fátima e Nariz",11.34
Santa Joana,23.81
São Bernardo,34.79
São Jacinto,8.87
União das freguesias de Glória e Vera Cruz,48.10
Estarreja,14.24
Avanca,14.23
Pardilhó,10.24
Salreu,13.48
União das freguesias de Beduído e Veiros,16.69
União das freguesias de Canelas e Fermelã,12.65
Ílhavo,22.31
Gafanha da Encarnação,18.38
Gafanha da Nazaré,22.80
Gafanha do Carmo,12.20
Ílhavo (São Salvador),24.10
Murtosa,13.64
Bunheiro,9.41
Monte,15.05
Murtosa,12.42
Torreira,18.19
Oliveira do Bairro,17.48
Oiã,18.17
Oliveira do Bairro,19.06
Palhaça,15.87
"União das freguesias de Bustos, Troviscal e Mamarrosa",15.74
Ovar,18.77
Cortegaça,19.60
Esmoriz,22.36
Maceda,12.31
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",19.40
Válega,12.19
Sever do Vouga,14.06
Couto de Esteves,9.54
Pessegueiro do Vouga,18.09
Rocas do Vouga,10.23
Sever do Vouga,18.40
Talhadas,13.02
União das freguesias de Cedrim e Paradela,10.36
União das freguesias de Silva Escura e Dornelas,12.71
Vagos,15.29
Calvão,17.42
Gafanha da Boa Hora,20.50
Ouca,11.08
Santo André de Vagos,9.47
Sosa,10.70
União das freguesias de Fonte de Angeão e Covão do Lobo,11.80
União das freguesias de Ponte de Vagos e Santa Catarina,13.12
União das freguesias de Vagos e Santo António,19.60
Região de Coimbra,22.71
Arganil,10.19
Arganil,13.88
Benfeita,14.53
Celavisa,3.10
Folques,6.58
Piódão,3.81
Pomares,3.46
Pombeiro da Beira,5.85
São Martinho da Cortiça,9.77
Sarzedo,9.93
Secarias,9.76
União das freguesias de Cepos e Teixeira,1.10
União das freguesias de Cerdeira e Moura da Serra,6.55
União das freguesias de Côja e Barril de Alva,9.62
União das freguesias de Vila Cova de Alva e Anseriz,9.79
Cantanhede,16.88
Ançã,23.85
Cadima,12.23
Cordinhã,12.71
Febres,11.76
Murtede,12.93
Ourentã,13.36
Sanguinheira,10.03
São Caetano,15.47
Tocha,15.37
União das freguesias de Cantanhede e Pocariça,25.65
União das freguesias de Covões e Camarneira,10.41
União das freguesias de Portunhos e Outil,17.36
União das freguesias de Sepins e Bolho,12.60
União das freguesias de Vilamar e Corticeiro de Cima,12.97
Coimbra,36.33
Almalaguês,17.88
Brasfemes,21.56
Ceira,17.70
Cernache,25.74
Santo António dos Olivais,55.89
São João do Campo,12.94
São Silvestre,17.12
Torres do Mondego,17.20
União das freguesias de Antuzede e Vil de Matos,16.16
União das freguesias de Assafarge e Antanhol,31.62
"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)",44.02
União das freguesias de Eiras e São Paulo de Frades,28.88
União das freguesias de Santa Clara e Castelo Viegas,39.37
União das freguesias de São Martinho de Árvore e Lamarosa,12.39
União das freguesias de São Martinho do Bispo e Ribeira de Frades,28.79
União das freguesias de Souselas e Botão,13.67
"União das freguesias de Taveiro, Ameal e Arzila",19.62
União das freguesias de Trouxemil e Torre de Vilela,17.75
Condeixa-a-Nova,25.50
Anobra,17.84
Ega,17.23
Furadouro,16.13
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova,30.47
União das freguesias de Sebal e Belide,26.78
União das freguesias de Vila Seca e Bem da Fé,15.19
Zambujal,18.64
Figueira da Foz,19.83
Alhadas,10.78
Alqueidão,11.82
Bom Sucesso,7.95
Buarcos e São Julião,28.05
Ferreira-a-Nova,9.82
Lavos,14.41
Maiorca,10.18
Marinha das Ondas,10.79
Moinhos da Gândara,9.54
Paião,13.27
Quiaios,15.60
São Pedro,13.43
Tavarede,29.20
Vila Verde,13.10
Góis,9.56
Alvares,4.96
Góis,12.59
União das freguesias de Cadafaz e Colmeal,8.42
Vila Nova do Ceira,7.52
Lousã,17.87
Gândaras,9.54
Serpins,12.94
União das freguesias de Foz de Arouce e Casal de Ermio,15.81
União das freguesias de Lousã e Vilarinho,19.50
Mealhada,18.50
Barcouço,17.11
Casal Comba,13.80
Luso,15.39
Pampilhosa,20.23
"União das freguesias da Mealhada, Ventosa do Bairro e Antes",23.05
Vacariça,12.62
Mira,18.08
Carapelhos,15.93
Mira,18.16
Praia de Mira,18.64
Seixo,17.37
Miranda do Corvo,14.51
Lamas,10.18
Miranda do Corvo,16.84
União das freguesias de Semide e Rio Vide,12.21
Vila Nova,8.28
Montemor-o-Velho,16.94
Arazede,10.44
Carapinheira,14.25
Ereira,12.09
Liceia,8.82
Meãs do Campo,15.85
Pereira,31.17
Santo Varão,21.99
Seixo de Gatões,12.61
Tentúgal,14.71
"União das freguesias de Abrunheira, Verride e Vila Nova da Barca",11.55
União das freguesias de Montemor-o-Velho e Gatões,21.79
Mortágua,12.73
Cercosa,7.38
Espinho,8.63
Marmeleira,11.45
Pala,8.87
Sobral,10.43
Trezói,6.77
"União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça",17.25
