Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
Mentrestido,33.88
Sapardos,21.48
Sopo,26.13
União das freguesias de Campos e Vila Meã,44.53
União das freguesias de Candemil e Gondar,34.69
União das freguesias de Reboreda e Nogueira,40.17
União das freguesias de Vila Nova de Cerveira e Lovelhe,46.83
Cávado,45.13
Amares,39.29
Barreiros,36.51
Bico,51.99
Bouro (Santa Maria),31.23
Bouro (Santa Marta),26.42
Caires,39.92
Carrazedo,38.90
Dornelas,31.79
Fiscal,36.84
Goães,31.53
Lago,41.61
Rendufe,38.84
União das freguesias de Amares e Figueiredo,42.59
"União das freguesias de Caldelas, Sequeiros e Paranhos",30.72
"União das freguesias de Ferreiros, Prozelo e Besteiros",43.95
União das freguesias de Torre e Portela,33.33
"União das freguesias de Vilela, Seramil e Paredes Secas",26.41
Barcelos,36.37
Abade de Neiva,41.81
Aborim,30.55
Adães,40.60
Airó,35.83
Aldreu,32.43
Alvelos,32.26
Arcozelo,44.99
Areias,34.42
Balugães,34.18
Barcelinhos,48.42
Barqueiros,27.01
Cambeses,37.44
Carapeços,31.36
Carvalhal,27.90
Carvalhas,24.23
Cossourado,31.36
Cristelo,26.55
Fornelos,27.89
Fragoso,33.61
Galegos (Santa Maria),36.25
Galegos (São Martinho),32.19
Gilmonde,34.45
Lama,34.98
Lijó,36.51
Macieira de Rates,35.61
Manhente,40.31
Martim,34.98
Moure,38.55
Oliveira,28.66
Palme,27.71
Panque,26.65
Paradela,28.31
Pereira,30.43
Perelhal,34.31
Pousa,33.87
Remelhe,33.33
Rio Covo (Santa Eugénia),38.28
Roriz,27.59
Silva,32.69
Tamel (São Veríssimo),32.86
Ucha,36.45
União das freguesias de Alheira e Igreja Nova,32.83
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,29.99
União das freguesias de Areias de Vilar e Encourados,30.52
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",47.72
União das freguesias de Campo e Tamel (São Pedro Fins),32.11
União das freguesias de Carreira e Fonte Coberta,33.31
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",33.67
União das freguesias de Creixomil e Mariz,34.84
União das freguesias de Durrães e Tregosa,32.46
União das freguesias de Gamil e Midões,39.12
"União das freguesias de Milhazes, Vilar de Figos e Faria",30.85
União das freguesias de Negreiros e Chavão,33.01
União das freguesias de Quintiães e Aguiar,28.85
